B4C01 CORRECTED FULL RUN  n_sims=200 per generator x 5 generators = 1000 total
out=C:\Users\mpolz\Documents\UNI-Flagellum\UNI-FLAGELLUM\hierarchical-aif\results\motor_stack_aif\B4C01_CORRECTED_FULL_RESULT.json
progress=C:\Users\mpolz\Documents\UNI-Flagellum\UNI-FLAGELLUM\hierarchical-aif\results\motor_stack_aif\B4C01_CORRECTED_FULL_PROGRESS.json
  [M0_EXPONENTIAL] 10/200  elapsed 564s  eta 10725s  self_wins=3 fail=0
  [M0_EXPONENTIAL] 20/200  elapsed 1004s  eta 9032s  self_wins=6 fail=0
  [M0_EXPONENTIAL] 30/200  elapsed 1499s  eta 8495s  self_wins=9 fail=0
  [M0_EXPONENTIAL] 40/200  elapsed 2104s  eta 8417s  self_wins=10 fail=0
  [M0_EXPONENTIAL] 50/200  elapsed 2677s  eta 8030s  self_wins=11 fail=0
  [M0_EXPONENTIAL] 60/200  elapsed 3177s  eta 7413s  self_wins=15 fail=0
  [M0_EXPONENTIAL] 70/200  elapsed 3591s  eta 6670s  self_wins=19 fail=0
  [M0_EXPONENTIAL] 80/200  elapsed 4023s  eta 6034s  self_wins=22 fail=0
  [M0_EXPONENTIAL] 90/200  elapsed 4430s  eta 5414s  self_wins=24 fail=0
  [M0_EXPONENTIAL] 100/200  elapsed 4834s  eta 4834s  self_wins=28 fail=0
  [M0_EXPONENTIAL] 110/200  elapsed 5343s  eta 4372s  self_wins=31 fail=0
  [M0_EXPONENTIAL] 120/200  elapsed 5876s  eta 3917s  self_wins=36 fail=0
  [M0_EXPONENTIAL] 130/200  elapsed 6429s  eta 3462s  self_wins=38 fail=0
  [M0_EXPONENTIAL] 140/200  elapsed 6944s  eta 2976s  self_wins=40 fail=0
  [M0_EXPONENTIAL] 150/200  elapsed 7446s  eta 2482s  self_wins=43 fail=0
  [M0_EXPONENTIAL] 160/200  elapsed 7950s  eta 1988s  self_wins=44 fail=0
  [M0_EXPONENTIAL] 170/200  elapsed 8443s  eta 1490s  self_wins=48 fail=0
  [M0_EXPONENTIAL] 180/200  elapsed 8944s  eta 994s  self_wins=52 fail=0
  [M0_EXPONENTIAL] 190/200  elapsed 9450s  eta 497s  self_wins=54 fail=0
  [M0_EXPONENTIAL] 200/200  elapsed 9957s  eta 0s  self_wins=58 fail=0
[M0_EXPONENTIAL] DONE self_win 58/200 frac=0.2900  withinTolerance=n/a  fail=0
  [M1_WEIBULL] 10/200  elapsed 558s  eta 10607s  self_wins=6 fail=0
  [M1_WEIBULL] 20/200  elapsed 1119s  eta 10068s  self_wins=9 fail=0
  [M1_WEIBULL] 30/200  elapsed 1681s  eta 9523s  self_wins=13 fail=0
  [M1_WEIBULL] 40/200  elapsed 2248s  eta 8992s  self_wins=19 fail=0
  [M1_WEIBULL] 50/200  elapsed 2807s  eta 8422s  self_wins=24 fail=0
  [M1_WEIBULL] 60/200  elapsed 3362s  eta 7845s  self_wins=32 fail=0
  [M1_WEIBULL] 70/200  elapsed 3973s  eta 7379s  self_wins=38 fail=0
  [M1_WEIBULL] 80/200  elapsed 4625s  eta 6938s  self_wins=45 fail=0
  [M1_WEIBULL] 90/200  elapsed 5278s  eta 6451s  self_wins=53 fail=0
  [M1_WEIBULL] 100/200  elapsed 5932s  eta 5932s  self_wins=59 fail=0
  [M1_WEIBULL] 110/200  elapsed 6580s  eta 5384s  self_wins=64 fail=0
  [M1_WEIBULL] 120/200  elapsed 7232s  eta 4821s  self_wins=71 fail=0
  [M1_WEIBULL] 130/200  elapsed 7881s  eta 4244s  self_wins=76 fail=0
  [M1_WEIBULL] 140/200  elapsed 8527s  eta 3654s  self_wins=82 fail=0
  [M1_WEIBULL] 150/200  elapsed 9187s  eta 3062s  self_wins=89 fail=0
  [M1_WEIBULL] 160/200  elapsed 9850s  eta 2463s  self_wins=95 fail=0
  [M1_WEIBULL] 170/200  elapsed 10514s  eta 1855s  self_wins=103 fail=0
  [M1_WEIBULL] 180/200  elapsed 11167s  eta 1241s  self_wins=108 fail=0
  [M1_WEIBULL] 190/200  elapsed 11803s  eta 621s  self_wins=111 fail=0
  [M1_WEIBULL] 200/200  elapsed 12335s  eta 0s  self_wins=118 fail=0
[M1_WEIBULL] DONE self_win 118/200 frac=0.5900  withinTolerance=True  fail=0
  [M2_LOGNORMAL] 10/200  elapsed 495s  eta 9406s  self_wins=7 fail=0
  [M2_LOGNORMAL] 20/200  elapsed 1058s  eta 9521s  self_wins=14 fail=0
  [M2_LOGNORMAL] 30/200  elapsed 1739s  eta 9856s  self_wins=24 fail=0
  [M2_LOGNORMAL] 40/200  elapsed 2396s  eta 9586s  self_wins=34 fail=0
  [M2_LOGNORMAL] 50/200  elapsed 3062s  eta 9185s  self_wins=43 fail=0
  [M2_LOGNORMAL] 60/200  elapsed 3724s  eta 8689s  self_wins=53 fail=0
  [M2_LOGNORMAL] 70/200  elapsed 4393s  eta 8158s  self_wins=63 fail=0
  [M2_LOGNORMAL] 80/200  elapsed 5037s  eta 7556s  self_wins=73 fail=0
  [M2_LOGNORMAL] 90/200  elapsed 5673s  eta 6934s  self_wins=82 fail=0
  [M2_LOGNORMAL] 100/200  elapsed 6311s  eta 6311s  self_wins=92 fail=0
  [M2_LOGNORMAL] 110/200  elapsed 6959s  eta 5694s  self_wins=100 fail=0
  [M2_LOGNORMAL] 120/200  elapsed 7588s  eta 5059s  self_wins=109 fail=0
  [M2_LOGNORMAL] 130/200  elapsed 8228s  eta 4430s  self_wins=118 fail=0
  [M2_LOGNORMAL] 140/200  elapsed 8870s  eta 3801s  self_wins=126 fail=0
  [M2_LOGNORMAL] 150/200  elapsed 9510s  eta 3170s  self_wins=134 fail=0
  [M2_LOGNORMAL] 160/200  elapsed 10152s  eta 2538s  self_wins=143 fail=0
  [M2_LOGNORMAL] 170/200  elapsed 10786s  eta 1903s  self_wins=153 fail=0
  [M2_LOGNORMAL] 180/200  elapsed 11431s  eta 1270s  self_wins=160 fail=0
  [M2_LOGNORMAL] 190/200  elapsed 12072s  eta 635s  self_wins=169 fail=0
  [M2_LOGNORMAL] 200/200  elapsed 12708s  eta 0s  self_wins=177 fail=0
[M2_LOGNORMAL] DONE self_win 177/200 frac=0.8850  withinTolerance=True  fail=0
  [M3_TWO_TIMESCALE] 10/200  elapsed 652s  eta 12383s  self_wins=7 fail=0
  [M3_TWO_TIMESCALE] 20/200  elapsed 1303s  eta 11729s  self_wins=17 fail=0
  [M3_TWO_TIMESCALE] 30/200  elapsed 1882s  eta 10662s  self_wins=26 fail=0
  [M3_TWO_TIMESCALE] 40/200  elapsed 2371s  eta 9486s  self_wins=36 fail=0
  [M3_TWO_TIMESCALE] 50/200  elapsed 2860s  eta 8579s  self_wins=45 fail=0
  [M3_TWO_TIMESCALE] 60/200  elapsed 3344s  eta 7804s  self_wins=55 fail=0
  [M3_TWO_TIMESCALE] 70/200  elapsed 3789s  eta 7036s  self_wins=65 fail=0
